,Date,Open,High,Low,Close,Volume
0,03/25/2011,131,129,129,129,28
1,03/31/2011,129,127,125,125,53
2,05/02/2011,125,127,127,127,600
3,05/09/2011,127,125,125,125,64
4,05/18/2011,125,129,127,129,28
5,06/14/2011,129,127,120,120,2218
6,07/04/2011,120,118,118,118,28
7,08/25/2011,118,116,116,116,120
8,08/28/2011,116,116,116,116,166
9,11/08/2011,116,114,114,114,14
10,01/04/2012,114,112,112,112,18
11,01/05/2012,112,110,110,110,28
12,01/31/2012,110,108,108,108,36
13,02/01/2012,108,106,106,106,121
14,02/02/2012,106,106,105,106,530
15,02/05/2012,106,104,98,98,1807
16,02/07/2012,98,99,98,98,2263
17,02/12/2012,98,97,97,97,231
18,02/21/2012,97,100,98,100,104
19,03/01/2012,100,98,97,97,47
20,03/12/2012,97,96,95,95,80
21,03/13/2012,95,95,95,95,80
22,04/05/2012,95,96,96,96,100
23,04/10/2012,96,97,97,97,100
24,07/04/2012,97,98,98,98,20
25,08/14/2012,98,99,99,99,58
26,08/19/2012,99,100,100,100,820
27,08/21/2012,100,106,102,106,102
28,08/27/2012,106,110,108,110,22
29,09/02/2012,110,112,112,112,82
30,10/01/2012,112,122,114,122,500
31,10/01/2012,112,122,114,122,500
32,10/02/2012,122,124,124,124,34
33,10/03/2012,124,136,126,136,3887
34,10/04/2012,136,146,138,146,900
35,10/07/2012,146,153,148,151,1313
36,10/08/2012,151,152,150,150,133
37,10/11/2012,150,147,147,147,100
38,10/14/2012,147,148,143,143,1331
39,10/15/2012,143,146,142,146,715
40,10/17/2012,146,145,145,145,32
41,10/18/2012,145,143,143,143,34
42,11/01/2012,143,145,145,145,130
43,11/04/2012,145,147,143,144,4536
44,11/05/2012,144,147,146,147,927
45,11/06/2012,147,146,145,146,1100
46,11/20/2012,146,144,144,144,100
47,11/25/2012,144,142,142,142,100
48,11/26/2012,142,140,140,140,100
49,11/29/2012,140,140,140,140,58
50,12/09/2012,140,138,138,138,533
51,12/10/2012,138,136,136,136,500
52,12/17/2012,136,138,138,138,110
53,12/19/2012,138,136,136,136,285
54,01/21/2013,136,144,138,144,185
55,01/22/2013,144,146,146,146,51
56,01/28/2013,146,145,141,141,925
57,01/30/2013,141,143,141,141,150
58,01/31/2013,141,140,140,140,3448
59,02/10/2013,140,146,142,146,1200
60,02/12/2013,146,148,148,148,180
61,02/13/2013,148,147,146,147,2834
62,02/14/2013,147,148,147,148,1840
63,02/20/2013,148,148,146,146,1420
64,05/07/2013,146,131,131,131,37358
65,06/06/2013,131,132,132,132,465
66,06/09/2013,132,134,134,134,51
67,06/10/2013,134,136,134,134,240
68,06/20/2013,134,132,132,132,751
69,06/26/2013,132,132,132,132,115
70,07/02/2013,132,133,133,133,10189
71,07/03/2013,133,134,134,134,373
72,07/09/2013,134,134,134,134,500
73,07/15/2013,134,136,134,134,4127
74,07/16/2013,134,134,134,134,1750
75,07/17/2013,134,136,133,136,1194
76,07/18/2013,136,138,138,138,1000
77,07/29/2013,138,142,140,142,233
78,07/31/2013,142,144,144,144,85
79,08/01/2013,144,146,144,144,1400
80,08/05/2013,144,158,146,158,4450
81,08/06/2013,158,173,160,172,3163
82,08/07/2013,172,170,161,164,1269
83,08/11/2013,164,161,155,155,86
84,08/12/2013,155,152,149,149,108
85,08/13/2013,149,153,148,153,322
86,08/14/2013,153,162,156,162,143
87,08/20/2013,162,178,165,178,11087
88,08/25/2013,178,195,181,195,745
89,08/26/2013,195,214,198,214,6254
90,08/27/2013,214,235,218,235,8124
91,08/29/2013,235,258,239,258,9666
92,09/01/2013,258,283,263,283,22854
93,09/02/2013,283,291,275,275,10085
94,09/03/2013,275,270,265,265,549
95,09/04/2013,265,260,250,250,662
96,09/05/2013,250,245,241,241,321
97,09/08/2013,241,253,245,248,167
98,09/09/2013,248,252,247,247,319
99,09/10/2013,247,251,251,251,290
100,09/11/2013,251,251,248,248,730
101,09/15/2013,248,252,244,251,2651
102,09/16/2013,251,256,251,252,129
103,09/17/2013,252,251,248,251,530
104,09/19/2013,251,254,246,250,3574
105,09/22/2013,250,255,250,250,1890
106,09/24/2013,250,249,247,247,1425
107,09/25/2013,247,249,243,249,265
108,09/26/2013,249,253,250,250,1292
109,09/29/2013,250,249,247,247,1066
110,09/30/2013,247,248,248,248,1134
111,10/02/2013,248,247,247,247,2000
112,10/03/2013,247,250,250,250,15
113,10/07/2013,250,245,245,245,1000
114,10/08/2013,245,242,242,242,17
115,10/09/2013,242,246,246,246,10
116,10/10/2013,246,244,244,244,806
117,10/21/2013,244,262,248,262,294
118,10/22/2013,262,272,267,270,254
119,10/23/2013,270,265,260,260,219
120,10/24/2013,260,255,245,254,3449
121,10/27/2013,254,251,250,251,195
122,10/28/2013,251,250,246,246,1237
123,10/29/2013,246,246,246,246,155
124,10/30/2013,246,250,250,250,300
125,10/31/2013,250,253,253,253,164
126,11/07/2013,253,250,245,245,3000
127,11/11/2013,241,245,245,245,1500
128,11/12/2013,245,255,249,255,2750
129,11/13/2013,255,263,258,263,5180
130,11/14/2013,263,263,263,263,51
131,11/24/2013,263,268,268,268,2571
132,11/25/2013,268,285,270,285,5829
133,11/26/2013,285,313,290,313,1618
134,11/27/2013,313,344,319,344,14358
135,11/28/2013,344,378,350,378,7723
136,12/01/2013,378,415,385,415,10602
137,12/02/2013,415,456,423,456,8120
138,12/03/2013,456,499,465,499,984
139,12/04/2013,499,508,470,470,2353
140,12/05/2013,470,461,423,424,2520
141,12/08/2013,424,416,400,400,477
142,12/09/2013,400,392,360,360,2513
143,12/10/2013,360,357,334,357,8942
144,12/11/2013,357,385,362,385,2639
145,12/12/2013,385,392,378,392,867
146,12/15/2013,392,398,393,393,978
147,12/16/2013,393,400,395,400,1834
148,12/19/2013,400,403,395,395,9000
149,12/22/2013,395,419,395,419,5483
150,12/23/2013,419,443,417,441,23397
151,12/24/2013,441,455,440,451,1034
152,12/26/2013,451,460,451,451,1579
153,12/29/2013,451,471,451,466,9879
154,12/31/2013,466,469,451,469,453
155,01/01/2014,469,465,442,442,1362
156,01/02/2014,442,451,435,451,11972
157,01/05/2014,451,470,450,470,2881
158,01/06/2014,470,472,462,462,392
159,01/07/2014,462,471,462,471,807
160,01/08/2014,471,475,466,475,8601
161,01/09/2014,475,470,461,461,1008
162,01/12/2014,461,485,470,480,733
163,01/13/2014,480,489,481,489,361
164,01/14/2014,489,507,498,501,557
165,01/16/2014,501,531,510,521,1868
166,01/19/2014,521,535,520,533,1635
167,01/20/2014,533,550,531,541,1750
168,01/21/2014,541,555,540,540,1579
169,01/22/2014,540,550,540,550,633
170,01/23/2014,550,550,539,539,750
171,01/26/2014,539,539,519,519,1601
172,01/27/2014,519,525,520,525,92
173,01/29/2014,525,515,515,515,24
174,02/02/2014,515,512,509,512,1057
175,02/03/2014,512,505,501,501,4092
176,02/04/2014,501,500,492,500,453
177,02/06/2014,515,520,520,520,174
178,02/09/2014,520,520,505,519,795
179,02/10/2014,519,520,512,520,188
180,02/11/2014,520,530,520,520,1555
181,02/12/2014,520,515,510,515,2137
182,02/13/2014,515,535,520,531,1809
183,02/16/2014,531,577,535,570,1204
184,02/17/2014,570,560,550,555,1185
185,02/18/2014,555,610,560,610,10651
186,02/20/2014,610,671,622,671,5008
187,02/23/2014,671,715,675,680,4485
188,02/24/2014,680,692,668,668,1802
189,02/25/2014,668,655,618,630,1076
190,02/26/2014,630,642,625,625,1843
191,03/03/2014,625,614,599,599,1154
192,03/04/2014,599,588,555,560,2059
193,03/05/2014,560,592,571,592,3744
194,03/06/2014,592,610,580,580,2032
195,03/09/2014,580,581,570,570,2186
196,03/10/2014,570,567,558,558,4418
197,03/11/2014,558,565,554,554,3568
198,03/12/2014,554,560,539,549,2144
199,03/13/2014,549,590,559,574,2767
200,03/13/2014,549,590,559,574,2767
201,03/17/2014,574,590,578,580,4970
202,03/18/2014,580,570,560,560,842
203,03/19/2014,560,570,570,570,100
204,03/20/2014,570,565,540,560,7501
205,03/23/2014,560,562,551,551,933
206,03/24/2014,551,563,553,563,2300
207,03/25/2014,563,566,559,559,9607
208,03/26/2014,559,589,570,589,7471
209,03/27/2014,589,616,600,608,6891
210,03/31/2014,608,648,615,621,9340
211,04/01/2014,621,637,621,637,4285
212,04/02/2014,637,640,614,617,9789
213,04/03/2014,617,620,598,600,10470
214,04/06/2014,533,555,543,553,291
215,04/07/2014,553,607,564,607,1929
216,04/09/2014,607,663,605,650,602
217,04/10/2014,650,637,625,625,592
218,04/13/2014,625,614,606,606,483
219,04/15/2014,606,618,610,610,1906
220,04/17/2014,610,620,620,620,250
221,04/20/2014,620,625,620,620,700
222,04/21/2014,620,622,600,622,23169
223,04/22/2014,622,642,630,640,1150
224,04/23/2014,640,683,652,683,4227
225,04/27/2014,683,745,696,745,2411
226,04/28/2014,745,775,748,763,4253
227,04/29/2014,763,775,758,770,2944
228,04/30/2014,770,768,740,740,5690
229,05/04/2014,740,780,754,765,4841
230,05/05/2014,765,800,770,770,4174
231,05/06/2014,770,755,740,740,1183
232,05/07/2014,740,726,726,726,65
233,05/08/2014,726,730,715,715,471
234,05/11/2014,715,715,700,700,1037
235,05/12/2014,700,686,673,673,1100
236,05/13/2014,673,665,652,652,1000
237,05/15/2014,652,690,665,665,1627
238,05/15/2014,652,690,665,665,1627
239,05/18/2014,665,678,650,650,600
240,05/21/2014,650,637,588,588,6098
241,05/22/2014,588,646,599,646,1765
242,05/25/2014,646,658,650,650,500
243,05/26/2014,650,650,625,625,1942
244,05/27/2014,625,630,610,630,10796
245,05/28/2014,630,650,642,645,327
246,06/01/2014,645,640,610,610,3705
247,06/02/2014,610,642,622,630,1135
248,06/03/2014,630,642,615,615,1740
249,06/04/2014,615,625,620,620,700
250,06/05/2014,620,635,628,632,1831
251,06/08/2014,632,650,642,650,665
252,06/09/2014,650,665,655,665,4996
253,06/10/2014,665,677,665,671,686
254,06/11/2014,671,683,672,673,427
255,06/12/2014,673,675,665,665,1060
256,06/15/2014,665,731,678,710,18813
257,06/16/2014,710,724,695,698,10490
258,06/17/2014,698,711,680,711,6068
259,06/17/2014,698,711,680,711,6068
260,06/18/2014,711,700,664,664,12070
261,06/19/2014,664,691,670,690,30970
262,06/23/2014,496,525,505,515,5644
263,06/24/2014,515,518,505,515,2555
264,06/25/2014,515,513,503,503,902
265,06/26/2014,503,510,496,506,1658
266,06/29/2014,506,513,504,504,1102
267,06/30/2014,504,504,495,504,2627
268,07/01/2014,504,554,505,550,5833
269,07/02/2014,550,580,561,580,981
270,07/03/2014,580,608,590,590,5232
271,07/06/2014,590,600,589,589,2930
272,07/07/2014,589,647,600,647,6234
273,07/08/2014,647,675,659,670,1300
274,07/09/2014,670,660,645,645,1175
275,07/10/2014,645,634,610,610,924
276,07/13/2014,610,625,596,596,2468
277,07/14/2014,596,585,570,575,1270
278,07/15/2014,575,566,555,555,1140
279,07/16/2014,555,583,505,583,16709
280,07/17/2014,583,637,594,618,6097
281,07/20/2014,618,630,616,622,1670
282,07/21/2014,622,622,620,622,2640
283,07/22/2014,622,622,601,619,2082
284,07/23/2014,619,610,600,600,808
285,07/24/2014,600,612,612,612,10
286,07/27/2014,612,600,600,600,478
287,07/30/2014,600,590,590,590,45
288,08/03/2014,590,579,560,560,7558
289,08/05/2014,560,561,545,550,2751
290,08/06/2014,550,552,545,552,764
291,08/07/2014,552,550,550,550,19
292,08/14/2014,550,561,561,561,100
293,08/18/2014,561,550,550,550,163
294,08/19/2014,550,548,520,530,3953
295,08/24/2014,530,520,500,500,712
296,08/26/2014,500,499,499,499,33
297,08/27/2014,499,515,500,503,943
298,08/28/2014,503,513,503,503,690
299,08/31/2014,503,500,493,493,950
300,09/01/2014,493,490,481,481,283
301,09/03/2014,481,485,471,480,851
302,09/04/2014,480,475,451,451,900
303,09/07/2014,451,442,418,418,513
304,09/09/2014,418,415,415,415,50
305,09/10/2014,415,415,405,406,2892
306,09/11/2014,406,400,400,400,40
307,09/14/2014,400,400,394,394,551
308,09/15/2014,394,401,401,401,227
309,09/16/2014,401,400,395,400,965
310,09/17/2014,400,400,400,400,100
311,09/18/2014,400,408,397,408,1028
312,09/21/2014,408,405,400,405,180
313,09/22/2014,405,413,405,410,1120
314,09/23/2014,410,412,404,404,700
315,09/24/2014,404,420,412,420,604
316,09/28/2014,420,436,428,436,60
317,09/29/2014,436,444,428,444,500
318,09/30/2014,444,469,450,450,1816
319,10/12/2014,450,458,458,458,10
320,10/13/2014,458,460,442,442,1081
321,10/14/2014,442,465,450,465,1605
322,10/15/2014,465,485,470,476,638
323,10/16/2014,476,494,480,485,1913
324,10/19/2014,485,494,480,494,953
325,10/20/2014,494,490,481,481,473
326,10/21/2014,481,485,485,485,93
327,10/22/2014,485,510,494,510,441
328,10/26/2014,510,530,520,530,727
329,10/27/2014,530,561,535,555,5421
330,10/28/2014,555,554,540,549,1356
331,11/02/2014,549,539,510,510,221
332,11/03/2014,510,500,490,491,541
333,11/04/2014,491,495,490,491,313
334,11/05/2014,491,501,490,501,1573
335,11/06/2014,501,495,491,491,599
336,11/10/2014,491,488,487,487,119
337,11/11/2014,487,490,480,489,1186
338,11/12/2014,489,480,480,480,25
339,11/13/2014,480,475,471,475,147
340,11/16/2014,475,483,483,483,400
341,11/17/2014,483,474,436,436,744
342,11/20/2014,436,452,437,437,2646
343,11/23/2014,437,450,436,436,865
344,11/24/2014,436,433,432,433,213
345,11/25/2014,433,435,427,435,22
346,11/30/2014,435,439,430,439,146
347,12/01/2014,439,431,431,431,34
348,12/03/2014,431,439,414,414,2938
349,12/04/2014,414,425,411,424,1187
350,12/07/2014,424,424,416,416,401
351,12/08/2014,416,417,409,417,721
352,12/09/2014,417,412,405,405,1212
353,12/11/2014,405,403,403,403,142
354,12/14/2014,403,419,411,419,287
355,12/15/2014,419,447,427,445,2567
356,12/16/2014,445,448,437,438,2625
357,12/17/2014,438,445,435,439,3662
358,12/18/2014,392,400,392,400,1926
359,12/23/2014,400,392,392,392,300
360,12/24/2014,392,392,392,392,56
361,12/28/2014,392,399,399,399,57
362,12/28/2014,392,399,399,399,57
363,12/29/2014,399,405,395,395,495
364,12/31/2014,395,390,383,390,1350
365,01/01/2015,390,400,390,400,1061
366,01/04/2015,400,399,385,399,189
367,01/05/2015,399,408,394,408,1829
368,01/06/2015,408,403,400,400,885
369,01/07/2015,400,409,400,409,3159
370,01/08/2015,409,416,410,411,1953
371,01/11/2015,411,408,408,408,65
372,01/12/2015,408,410,405,405,297
373,01/13/2015,405,413,413,413,42
374,01/14/2015,413,413,406,413,164
375,01/18/2015,413,415,413,415,86
376,01/19/2015,415,423,408,408,1286
377,01/20/2015,408,423,410,423,743
378,01/25/2015,423,420,420,420,218
379,01/27/2015,420,428,420,420,412
380,01/28/2015,420,428,420,428,1266
381,01/29/2015,428,425,415,415,397
382,02/01/2015,415,420,418,419,683
383,02/04/2015,419,411,411,411,44
384,02/08/2015,411,403,395,400,2110
385,02/10/2015,400,410,408,410,1408
386,02/12/2015,410,428,418,420,194
387,02/15/2015,420,421,420,420,200
388,02/16/2015,420,421,415,415,720
389,02/16/2015,420,421,415,415,720
390,02/18/2015,415,412,407,412,320
391,02/22/2015,412,405,405,405,68
392,02/23/2015,405,403,395,403,344
393,02/24/2015,403,401,398,398,960
394,02/26/2015,398,400,395,400,2175
395,03/01/2015,400,400,400,400,25
396,03/02/2015,400,400,400,400,3051
397,03/03/2015,400,400,395,395,139
398,03/04/2015,395,402,390,400,3106
399,03/09/2015,400,408,408,408,29
400,03/11/2015,408,405,397,397,791
401,03/12/2015,397,397,390,397,655
402,03/16/2015,397,400,400,400,135
403,03/18/2015,400,400,400,400,91
404,03/19/2015,400,393,393,393,220
405,03/22/2015,393,394,386,394,1085
406,03/23/2015,394,387,380,380,981
407,03/24/2015,380,374,374,374,113
408,03/25/2015,374,368,367,367,390
409,04/02/2015,367,374,374,374,50
410,04/08/2015,374,374,363,363,564
411,04/09/2015,363,370,370,370,100
412,04/12/2015,370,377,377,377,156
413,04/15/2015,377,370,370,370,92
414,04/19/2015,370,370,363,370,809
415,04/20/2015,370,379,375,375,898
416,04/21/2015,375,375,375,375,250
417,04/23/2015,375,380,379,380,433
